geo_id,census_tract,unemploy_rate,pct_below_poverty
1400000US16055000101,Census Tract 1.01; Kootenai County; Idaho,1.9,6.3
1400000US16055000102,Census Tract 1.02; Kootenai County; Idaho,3.8,3.7
1400000US16055000201,Census Tract 2.01; Kootenai County; Idaho,2.5,7.4
1400000US16055000202,Census Tract 2.02; Kootenai County; Idaho,3.7,6.7
1400000US16055000203,Census Tract 2.03; Kootenai County; Idaho,1.2,14.0
1400000US16055000301,Census Tract 3.01; Kootenai County; Idaho,2.0,2.8
1400000US16055000303,Census Tract 3.03; Kootenai County; Idaho,3.2,5.4
1400000US16055000304,Census Tract 3.04; Kootenai County; Idaho,14.0,8.1
1400000US16055000401,Census Tract 4.01; Kootenai County; Idaho,7.9,16.6
1400000US16055000402,Census Tract 4.02; Kootenai County; Idaho,4.5,10.7
1400000US16055000501,Census Tract 5.01; Kootenai County; Idaho,3.9,8.6
1400000US16055000502,Census Tract 5.02; Kootenai County; Idaho,0.9,9.2
1400000US16055000503,Census Tract 5.03; Kootenai County; Idaho,1.9,14.7
1400000US16055000601,Census Tract 6.01; Kootenai County; Idaho,2.5,14.4
1400000US16055000602,Census Tract 6.02; Kootenai County; Idaho,3.9,16.5
1400000US16055000701,Census Tract 7.01; Kootenai County; Idaho,4.0,8.5
1400000US16055000702,Census Tract 7.02; Kootenai County; Idaho,5.6,7.9
1400000US16055000703,Census Tract 7.03; Kootenai County; Idaho,1.7,6.3
1400000US16055000704,Census Tract 7.04; Kootenai County; Idaho,1.5,3.1
1400000US16055000800,Census Tract 8; Kootenai County; Idaho,3.5,7.5
1400000US16055000901,Census Tract 9.01; Kootenai County; Idaho,5.0,14.4
1400000US16055000902,Census Tract 9.02; Kootenai County; Idaho,1.8,22.8
1400000US16055001002,Census Tract 10.02; Kootenai County; Idaho,6.6,6.1
1400000US16055001003,Census Tract 10.03; Kootenai County; Idaho,0.4,6.4
1400000US16055001004,Census Tract 10.04; Kootenai County; Idaho,1.0,7.7
1400000US16055001100,Census Tract 11; Kootenai County; Idaho,1.4,4.4
1400000US16055001201,Census Tract 12.01; Kootenai County; Idaho,1.7,14.8
1400000US16055001202,Census Tract 12.02; Kootenai County; Idaho,1.6,15.7
1400000US16055001300,Census Tract 13; Kootenai County; Idaho,4.6,18.6
1400000US16055001400,Census Tract 14; Kootenai County; Idaho,5.5,16.1
1400000US16055001500,Census Tract 15; Kootenai County; Idaho,3.6,7.7
1400000US16055001600,Census Tract 16; Kootenai County; Idaho,3.3,9.3
1400000US16055001700,Census Tract 17; Kootenai County; Idaho,1.8,5.7
1400000US16055001801,Census Tract 18.01; Kootenai County; Idaho,3.0,5.7
1400000US16055001802,Census Tract 18.02; Kootenai County; Idaho,0.5,1.6
1400000US16055001901,Census Tract 19.01; Kootenai County; Idaho,0.0,11.6
1400000US16055001902,Census Tract 19.02; Kootenai County; Idaho,4.9,3.2
1400000US16055002000,Census Tract 20; Kootenai County; Idaho,7.0,3.9
1400000US16055940000,Census Tract 9400; Kootenai County; Idaho,5.7,15.3
1400000US53063000201,Census Tract 2.01; Spokane County; Washington,4.1,16.4
1400000US53063000202,Census Tract 2.02; Spokane County; Washington,14.8,27.9
1400000US53063000301,Census Tract 3.01; Spokane County; Washington,7.1,20.3
1400000US53063000302,Census Tract 3.02; Spokane County; Washington,2.7,23.1
1400000US53063000400,Census Tract 4; Spokane County; Washington,12.3,17.1
1400000US53063000500,Census Tract 5; Spokane County; Washington,5.5,12.0
1400000US53063000600,Census Tract 6; Spokane County; Washington,4.6,12.0
1400000US53063000700,Census Tract 7; Spokane County; Washington,7.7,7.2
1400000US53063000800,Census Tract 8; Spokane County; Washington,7.1,5.0
1400000US53063000900,Census Tract 9; Spokane County; Washington,6.3,16.4
1400000US53063001000,Census Tract 10; Spokane County; Washington,3.1,5.3
1400000US53063001100,Census Tract 11; Spokane County; Washington,1.4,4.0
1400000US53063001200,Census Tract 12; Spokane County; Washington,3.7,10.5
1400000US53063001300,Census Tract 13; Spokane County; Washington,5.3,16.5
1400000US53063001400,Census Tract 14; Spokane County; Washington,8.7,20.4
1400000US53063001500,Census Tract 15; Spokane County; Washington,4.3,16.5
1400000US53063001600,Census Tract 16; Spokane County; Washington,4.1,29.5
1400000US53063001800,Census Tract 18; Spokane County; Washington,6.1,16.9
1400000US53063001900,Census Tract 19; Spokane County; Washington,8.5,13.6
1400000US53063002000,Census Tract 20; Spokane County; Washington,10.7,36.0
1400000US53063002100,Census Tract 21; Spokane County; Washington,12.2,6.5
1400000US53063002300,Census Tract 23; Spokane County; Washington,4.9,21.8
1400000US53063002400,Census Tract 24; Spokane County; Washington,9.6,45.5
1400000US53063002501,Census Tract 25.01; Spokane County; Washington,5.7,43.3
1400000US53063002502,Census Tract 25.02; Spokane County; Washington,8.9,36.6
1400000US53063002503,Census Tract 25.03; Spokane County; Washington,20.3,57.4
1400000US53063002600,Census Tract 26; Spokane County; Washington,3.4,22.2
1400000US53063002900,Census Tract 29; Spokane County; Washington,5.7,6.6
1400000US53063003000,Census Tract 30; Spokane County; Washington,7.9,23.5
1400000US53063003100,Census Tract 31; Spokane County; Washington,5.0,23.0
1400000US53063003200,Census Tract 32; Spokane County; Washington,8.6,19.9
1400000US53063003500,Census Tract 35; Spokane County; Washington,12.7,51.6
1400000US53063003601,Census Tract 36.01; Spokane County; Washington,8.2,24.1
1400000US53063003602,Census Tract 36.02; Spokane County; Washington,7.1,20.0
1400000US53063003800,Census Tract 38; Spokane County; Washington,6.3,11.1
1400000US53063003900,Census Tract 39; Spokane County; Washington,8.7,12.4
1400000US53063004001,Census Tract 40.01; Spokane County; Washington,5.2,11.3
1400000US53063004002,Census Tract 40.02; Spokane County; Washington,3.7,12.8
1400000US53063004100,Census Tract 41; Spokane County; Washington,2.3,12.8
1400000US53063004200,Census Tract 42; Spokane County; Washington,7.8,5.0
1400000US53063004300,Census Tract 43; Spokane County; Washington,1.0,6.6
1400000US53063004400,Census Tract 44; Spokane County; Washington,2.4,4.6
1400000US53063004500,Census Tract 45; Spokane County; Washington,6.5,5.7
1400000US53063004601,Census Tract 46.01; Spokane County; Washington,3.9,11.4
1400000US53063004602,Census Tract 46.02; Spokane County; Washington,5.5,7.8
1400000US53063004701,Census Tract 47.01; Spokane County; Washington,9.7,16.7
1400000US53063004702,Census Tract 47.02; Spokane County; Washington,2.0,15.3
1400000US53063004800,Census Tract 48; Spokane County; Washington,1.3,9.1
1400000US53063004900,Census Tract 49; Spokane County; Washington,2.5,3.3
1400000US53063005000,Census Tract 50; Spokane County; Washington,5.9,11.7
1400000US53063010101,Census Tract 101.01; Spokane County; Washington,2.3,3.4
1400000US53063010102,Census Tract 101.02; Spokane County; Washington,1.0,3.0
1400000US53063010201,Census Tract 102.01; Spokane County; Washington,3.5,11.2
1400000US53063010203,Census Tract 102.03; Spokane County; Washington,4.0,5.5
1400000US53063010204,Census Tract 102.04; Spokane County; Washington,6.6,22.6
1400000US53063010301,Census Tract 103.01; Spokane County; Washington,8.7,13.7
1400000US53063010303,Census Tract 103.03; Spokane County; Washington,1.8,7.9
1400000US53063010304,Census Tract 103.04; Spokane County; Washington,4.4,12.0
1400000US53063010305,Census Tract 103.05; Spokane County; Washington,3.5,7.6
1400000US53063010401,Census Tract 104.01; Spokane County; Washington,10.9,23.2
1400000US53063010403,Census Tract 104.03; Spokane County; Washington,4.9,11.6
1400000US53063010404,Census Tract 104.04; Spokane County; Washington,3.7,7.3
1400000US53063010504,Census Tract 105.04; Spokane County; Washington,4.0,7.5
1400000US53063010505,Census Tract 105.05; Spokane County; Washington,4.7,6.1
1400000US53063010506,Census Tract 105.06; Spokane County; Washington,1.9,8.7
1400000US53063010507,Census Tract 105.07; Spokane County; Washington,2.4,3.1
1400000US53063010508,Census Tract 105.08; Spokane County; Washington,2.0,4.2
1400000US53063010601,Census Tract 106.01; Spokane County; Washington,1.9,2.6
1400000US53063010603,Census Tract 106.03; Spokane County; Washington,1.4,4.7
1400000US53063010604,Census Tract 106.04; Spokane County; Washington,6.1,3.5
1400000US53063010701,Census Tract 107.01; Spokane County; Washington,4.4,3.2
1400000US53063010702,Census Tract 107.02; Spokane County; Washington,1.1,13.8
1400000US53063010800,Census Tract 108; Spokane County; Washington,5.9,24.5
1400000US53063010901,Census Tract 109.01; Spokane County; Washington,16.1,12.9
1400000US53063010902,Census Tract 109.02; Spokane County; Washington,12.0,19.6
1400000US53063011000,Census Tract 110; Spokane County; Washington,6.5,8.8
1400000US53063011102,Census Tract 111.02; Spokane County; Washington,3.2,13.2
1400000US53063011103,Census Tract 111.03; Spokane County; Washington,14.2,12.9
1400000US53063011104,Census Tract 111.04; Spokane County; Washington,18.4,34.6
1400000US53063011202,Census Tract 112.02; Spokane County; Washington,6.0,6.8
1400000US53063011203,Census Tract 112.03; Spokane County; Washington,6.7,33.7
1400000US53063011204,Census Tract 112.04; Spokane County; Washington,2.1,11.9
1400000US53063011301,Census Tract 113.01; Spokane County; Washington,1.8,5.3
1400000US53063011302,Census Tract 113.02; Spokane County; Washington,3.8,13.1
1400000US53063011400,Census Tract 114; Spokane County; Washington,1.6,11.9
1400000US53063011500,Census Tract 115; Spokane County; Washington,6.1,7.5
1400000US53063011600,Census Tract 116; Spokane County; Washington,3.6,11.5
1400000US53063011701,Census Tract 117.01; Spokane County; Washington,1.4,10.2
1400000US53063011702,Census Tract 117.02; Spokane County; Washington,6.2,21.8
1400000US53063011800,Census Tract 118; Spokane County; Washington,7.1,15.6
1400000US53063011900,Census Tract 119; Spokane County; Washington,3.4,10.0
1400000US53063012000,Census Tract 120; Spokane County; Washington,3.9,16.8
1400000US53063012100,Census Tract 121; Spokane County; Washington,7.0,7.8
1400000US53063012200,Census Tract 122; Spokane County; Washington,8.7,11.1
1400000US53063012300,Census Tract 123; Spokane County; Washington,4.1,17.4
1400000US53063012401,Census Tract 124.01; Spokane County; Washington,8.3,5.7
1400000US53063012402,Census Tract 124.02; Spokane County; Washington,6.7,7.7
1400000US53063012500,Census Tract 125; Spokane County; Washington,5.9,18.6
1400000US53063012600,Census Tract 126; Spokane County; Washington,5.1,12.3
1400000US53063012701,Census Tract 127.01; Spokane County; Washington,2.4,7.0
1400000US53063012702,Census Tract 127.02; Spokane County; Washington,13.2,2.9
1400000US53063012801,Census Tract 128.01; Spokane County; Washington,6.5,8.7
1400000US53063012802,Census Tract 128.02; Spokane County; Washington,6.6,4.3
1400000US53063012901,Census Tract 129.01; Spokane County; Washington,5.3,11.7
1400000US53063012902,Census Tract 129.02; Spokane County; Washington,4.0,4.3
1400000US53063013001,Census Tract 130.01; Spokane County; Washington,0.6,17.5
1400000US53063013002,Census Tract 130.02; Spokane County; Washington,8.6,10.0
1400000US53063013003,Census Tract 130.03; Spokane County; Washington,6.2,12.5
1400000US53063013101,Census Tract 131.01; Spokane County; Washington,6.5,8.6
1400000US53063013102,Census Tract 131.02; Spokane County; Washington,5.1,4.0
1400000US53063013201,Census Tract 132.01; Spokane County; Washington,2.9,6.9
1400000US53063013203,Census Tract 132.03; Spokane County; Washington,9.3,1.8
1400000US53063013204,Census Tract 132.04; Spokane County; Washington,5.9,1.6
1400000US53063013205,Census Tract 132.05; Spokane County; Washington,1.9,6.3
1400000US53063013300,Census Tract 133; Spokane County; Washington,3.8,2.6
1400000US53063013401,Census Tract 134.01; Spokane County; Washington,3.1,3.9
1400000US53063013501,Census Tract 135.01; Spokane County; Washington,2.6,8.6
1400000US53063013502,Census Tract 135.02; Spokane County; Washington,5.0,2.5
1400000US53063013503,Census Tract 135.03; Spokane County; Washington,1.0,1.0
1400000US53063013600,Census Tract 136; Spokane County; Washington,4.6,8.6
1400000US53063013700,Census Tract 137; Spokane County; Washington,3.1,8.3
1400000US53063013800,Census Tract 138; Spokane County; Washington,5.0,5.5
1400000US53063013900,Census Tract 139; Spokane County; Washington,4.5,5.0
1400000US53063014001,Census Tract 140.01; Spokane County; Washington,16.0,37.2
1400000US53063014002,Census Tract 140.02; Spokane County; Washington,9.5,32.4
1400000US53063014100,Census Tract 141; Spokane County; Washington,5.2,1.5
1400000US53063014200,Census Tract 142; Spokane County; Washington,3.2,12.5
1400000US53063014300,Census Tract 143; Spokane County; Washington,6.2,10.2
1400000US53063014400,Census Tract 144; Spokane County; Washington,8.2,9.2
1400000US53063014500,Census Tract 145; Spokane County; Washington,15.1,40.7
