geo_id,census_tract,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US16055000101,Census Tract 1.01; Kootenai County; Idaho,54.0,52.3,2.4,2.8,7.2,21.1,12.9,9.3,16.4,24.5
1400000US16055000102,Census Tract 1.02; Kootenai County; Idaho,47.3,49.8,5.0,8.5,12.5,12.2,9.8,12.1,20.1,18.4
1400000US16055000201,Census Tract 2.01; Kootenai County; Idaho,37.2,46.9,7.7,14.5,11.6,14.2,6.3,4.3,23.2,16.7
1400000US16055000202,Census Tract 2.02; Kootenai County; Idaho,54.3,49.8,2.3,4.9,8.3,17.8,11.8,12.9,18.9,21.0
1400000US16055000203,Census Tract 2.03; Kootenai County; Idaho,50.4,50.6,7.4,8.5,7.5,14.8,9.4,11.2,17.5,20.9
1400000US16055000301,Census Tract 3.01; Kootenai County; Idaho,44.0,53.8,5.5,13.5,9.9,13.7,6.1,6.9,19.1,21.7
1400000US16055000303,Census Tract 3.03; Kootenai County; Idaho,36.5,50.3,3.3,11.9,19.0,14.6,2.3,6.5,29.2,11.4
1400000US16055000304,Census Tract 3.04; Kootenai County; Idaho,36.5,46.3,3.7,15.7,8.5,18.4,6.7,6.1,28.2,11.3
1400000US16055000401,Census Tract 4.01; Kootenai County; Idaho,35.1,51.7,4.1,18.1,10.8,14.2,5.7,6.3,25.0,13.1
1400000US16055000402,Census Tract 4.02; Kootenai County; Idaho,34.4,45.7,4.6,13.0,18.7,9.1,4.7,4.9,30.9,11.5
1400000US16055000501,Census Tract 5.01; Kootenai County; Idaho,34.6,43.8,2.2,10.5,12.4,12.3,6.9,5.8,33.4,11.6
1400000US16055000502,Census Tract 5.02; Kootenai County; Idaho,38.8,49.1,3.7,12.2,13.2,11.7,8.0,4.6,28.7,17.4
1400000US16055000503,Census Tract 5.03; Kootenai County; Idaho,26.8,53.8,12.0,30.9,6.8,11.5,1.7,1.9,28.2,4.6
1400000US16055000601,Census Tract 6.01; Kootenai County; Idaho,47.4,45.6,4.8,11.4,10.8,6.8,9.4,7.3,19.9,27.9
1400000US16055000602,Census Tract 6.02; Kootenai County; Idaho,36.0,51.1,5.8,13.4,16.3,4.9,8.4,8.3,27.8,12.9
1400000US16055000701,Census Tract 7.01; Kootenai County; Idaho,39.9,53.5,5.5,16.0,12.5,10.3,3.2,4.6,20.0,23.6
1400000US16055000702,Census Tract 7.02; Kootenai County; Idaho,41.4,55.9,5.0,6.8,17.9,11.5,2.0,6.4,24.1,25.0
1400000US16055000703,Census Tract 7.03; Kootenai County; Idaho,34.6,47.6,7.5,15.6,13.4,15.1,1.3,6.3,26.5,13.2
1400000US16055000704,Census Tract 7.04; Kootenai County; Idaho,37.5,53.5,4.6,11.7,23.0,11.5,6.3,4.5,28.7,8.8
1400000US16055000800,Census Tract 8; Kootenai County; Idaho,49.0,48.4,6.4,14.9,7.7,12.0,7.1,7.0,14.7,27.4
1400000US16055000901,Census Tract 9.01; Kootenai County; Idaho,28.7,52.6,17.4,16.3,11.1,10.2,2.2,1.4,18.8,21.3
1400000US16055000902,Census Tract 9.02; Kootenai County; Idaho,50.1,52.9,4.3,16.5,11.7,7.8,7.6,4.9,12.0,32.0
1400000US16055001002,Census Tract 10.02; Kootenai County; Idaho,45.1,48.8,5.8,8.5,11.7,12.3,11.9,7.6,20.1,18.3
1400000US16055001003,Census Tract 10.03; Kootenai County; Idaho,46.6,51.1,5.5,9.2,13.1,18.7,3.9,12.8,16.2,19.7
1400000US16055001004,Census Tract 10.04; Kootenai County; Idaho,42.4,45.1,8.1,11.0,12.6,7.1,2.2,4.9,20.0,32.7
1400000US16055001100,Census Tract 11; Kootenai County; Idaho,49.9,52.6,4.0,6.1,11.5,12.3,11.8,11.6,18.1,22.4
1400000US16055001201,Census Tract 12.01; Kootenai County; Idaho,35.0,51.0,7.7,8.6,19.8,6.5,3.4,6.1,33.0,14.2
1400000US16055001202,Census Tract 12.02; Kootenai County; Idaho,41.6,44.8,6.9,15.7,12.3,9.8,7.1,7.4,21.6,18.8
1400000US16055001300,Census Tract 13; Kootenai County; Idaho,32.6,45.8,6.3,22.4,15.8,4.9,4.4,5.2,24.4,14.4
1400000US16055001400,Census Tract 14; Kootenai County; Idaho,41.6,53.8,6.5,19.9,9.9,13.0,13.2,6.1,11.4,15.1
1400000US16055001500,Census Tract 15; Kootenai County; Idaho,37.5,53.9,4.7,22.9,14.1,7.0,11.1,8.1,17.1,13.0
1400000US16055001600,Census Tract 16; Kootenai County; Idaho,38.5,48.7,6.9,17.3,14.7,11.6,7.9,5.7,17.6,15.8
1400000US16055001700,Census Tract 17; Kootenai County; Idaho,46.8,50.0,4.4,7.9,14.3,10.2,6.9,8.6,20.6,26.5
1400000US16055001801,Census Tract 18.01; Kootenai County; Idaho,51.5,46.7,1.1,4.4,9.7,12.6,4.3,7.5,24.8,34.6
1400000US16055001802,Census Tract 18.02; Kootenai County; Idaho,49.3,48.6,2.8,10.8,8.5,19.4,5.5,9.2,20.0,23.4
1400000US16055001901,Census Tract 19.01; Kootenai County; Idaho,56.1,51.0,1.5,6.2,6.1,9.5,10.4,10.7,19.5,34.2
1400000US16055001902,Census Tract 19.02; Kootenai County; Idaho,61.9,57.8,2.1,2.9,1.4,20.7,7.2,26.5,4.5,32.4
1400000US16055002000,Census Tract 20; Kootenai County; Idaho,50.7,47.7,3.4,3.0,11.0,13.6,11.2,14.6,20.7,20.0
1400000US16055940000,Census Tract 9400; Kootenai County; Idaho,55.8,52.8,3.0,7.2,9.2,10.1,10.0,10.0,17.8,31.5
1400000US53063000201,Census Tract 2.01; Spokane County; Washington,39.9,53.0,4.3,13.6,13.8,17.9,4.3,7.9,20.9,14.4
1400000US53063000202,Census Tract 2.02; Spokane County; Washington,28.1,58.4,9.2,18.1,3.7,12.8,5.3,8.2,23.1,10.6
1400000US53063000301,Census Tract 3.01; Spokane County; Washington,35.4,53.6,9.3,15.8,18.5,8.0,6.2,8.5,23.1,10.6
1400000US53063000302,Census Tract 3.02; Spokane County; Washington,33.5,49.9,5.7,14.1,15.3,12.6,4.3,8.1,31.2,7.4
1400000US53063000400,Census Tract 4; Spokane County; Washington,33.6,48.7,4.7,22.9,12.9,10.2,4.1,9.0,23.4,10.7
1400000US53063000500,Census Tract 5; Spokane County; Washington,37.3,49.5,5.8,16.4,13.7,12.4,7.1,5.0,23.9,14.4
1400000US53063000600,Census Tract 6; Spokane County; Washington,33.0,53.6,6.0,20.9,14.5,11.6,4.2,7.9,22.1,10.9
1400000US53063000700,Census Tract 7; Spokane County; Washington,33.1,48.4,9.0,18.1,11.3,11.6,5.0,7.7,22.9,11.8
1400000US53063000800,Census Tract 8; Spokane County; Washington,43.1,48.2,3.8,11.4,11.3,11.7,7.5,6.2,22.2,23.6
1400000US53063000900,Census Tract 9; Spokane County; Washington,43.5,47.3,3.9,8.6,12.5,14.4,6.3,10.3,24.4,17.3
1400000US53063001000,Census Tract 10; Spokane County; Washington,43.7,48.8,1.2,9.8,17.1,15.9,5.3,10.3,23.6,16.4
1400000US53063001100,Census Tract 11; Spokane County; Washington,35.5,47.9,1.3,23.5,11.6,12.5,6.6,6.3,23.3,13.8
1400000US53063001200,Census Tract 12; Spokane County; Washington,33.9,48.5,10.3,19.2,11.8,15.4,4.2,5.4,21.0,11.8
1400000US53063001300,Census Tract 13; Spokane County; Washington,37.7,49.3,7.8,18.4,16.7,11.9,3.3,9.1,18.8,12.5
1400000US53063001400,Census Tract 14; Spokane County; Washington,30.6,49.4,5.7,24.6,13.7,8.7,5.2,3.3,27.2,8.7
1400000US53063001500,Census Tract 15; Spokane County; Washington,37.7,52.0,5.1,14.0,15.6,15.6,3.9,5.8,24.8,14.3
1400000US53063001600,Census Tract 16; Spokane County; Washington,33.9,53.4,7.3,16.2,13.4,9.9,5.4,7.6,26.2,11.9
1400000US53063001800,Census Tract 18; Spokane County; Washington,37.3,50.7,4.4,18.3,9.5,13.6,7.1,5.3,21.3,18.6
1400000US53063001900,Census Tract 19; Spokane County; Washington,32.3,46.6,6.7,20.8,13.6,10.6,5.5,4.5,25.6,12.5
1400000US53063002000,Census Tract 20; Spokane County; Washington,35.5,51.7,5.4,17.4,14.2,15.4,6.9,2.6,24.4,11.6
1400000US53063002100,Census Tract 21; Spokane County; Washington,32.3,52.3,9.6,29.4,12.3,8.2,4.5,5.9,15.1,13.7
1400000US53063002300,Census Tract 23; Spokane County; Washington,44.2,53.4,7.3,16.1,15.5,8.8,11.3,7.5,11.2,20.1
1400000US53063002400,Census Tract 24; Spokane County; Washington,34.3,54.6,8.0,26.2,13.4,11.7,4.0,4.3,14.5,15.1
1400000US53063002501,Census Tract 25.01; Spokane County; Washington,23.4,57.8,43.1,21.5,2.7,5.9,4.5,4.3,5.9,6.3
1400000US53063002502,Census Tract 25.02; Spokane County; Washington,29.1,61.3,19.9,28.7,9.0,8.3,5.9,1.7,12.4,10.9
1400000US53063002503,Census Tract 25.03; Spokane County; Washington,19.8,54.5,35.9,1.3,0.6,1.7,2.1,0.9,0.6,0.0
1400000US53063002600,Census Tract 26; Spokane County; Washington,36.3,50.0,13.8,16.0,17.9,12.5,5.3,8.1,17.3,7.5
1400000US53063002900,Census Tract 29; Spokane County; Washington,34.4,49.8,7.3,19.7,11.6,7.5,8.2,8.8,23.3,13.0
1400000US53063003000,Census Tract 30; Spokane County; Washington,30.8,53.6,5.2,27.3,11.2,11.2,4.1,2.2,25.5,11.8
1400000US53063003100,Census Tract 31; Spokane County; Washington,34.0,44.7,3.7,28.3,14.6,7.4,7.8,7.2,20.8,9.4
1400000US53063003200,Census Tract 32; Spokane County; Washington,46.5,50.2,7.1,27.9,6.6,11.3,8.4,6.1,7.1,24.9
1400000US53063003500,Census Tract 35; Spokane County; Washington,49.8,56.9,7.7,16.3,16.9,15.3,12.9,8.9,3.1,18.0
1400000US53063003601,Census Tract 36.01; Spokane County; Washington,28.6,39.1,6.9,25.6,9.6,7.9,12.3,3.2,25.0,7.6
1400000US53063003602,Census Tract 36.02; Spokane County; Washington,36.4,55.1,4.2,40.8,11.4,12.1,9.5,3.7,3.4,14.9
1400000US53063003800,Census Tract 38; Spokane County; Washington,37.0,46.3,9.3,20.0,10.9,12.7,4.0,6.8,14.4,17.4
1400000US53063003900,Census Tract 39; Spokane County; Washington,48.4,47.4,7.1,9.1,11.6,8.9,5.5,8.1,20.0,29.2
1400000US53063004001,Census Tract 40.01; Spokane County; Washington,33.3,34.3,9.3,20.4,11.5,11.7,10.1,4.8,18.0,10.9
1400000US53063004002,Census Tract 40.02; Spokane County; Washington,34.1,52.4,16.5,24.8,15.6,11.3,2.4,9.8,11.3,7.6
1400000US53063004100,Census Tract 41; Spokane County; Washington,42.7,47.2,5.7,20.8,9.3,12.3,4.7,6.0,15.6,25.0
1400000US53063004200,Census Tract 42; Spokane County; Washington,43.6,48.5,6.2,8.9,12.7,14.6,6.4,8.7,22.2,18.7
1400000US53063004300,Census Tract 43; Spokane County; Washington,42.9,48.7,4.1,15.3,9.1,12.3,3.6,8.2,22.4,24.8
1400000US53063004400,Census Tract 44; Spokane County; Washington,38.8,48.8,6.9,13.8,15.2,9.1,4.0,6.5,20.1,21.7
1400000US53063004500,Census Tract 45; Spokane County; Washington,45.2,43.8,2.3,13.7,8.9,15.7,8.0,6.5,23.2,20.2
1400000US53063004601,Census Tract 46.01; Spokane County; Washington,52.2,49.8,3.2,9.6,9.9,8.1,4.0,9.8,19.2,34.7
1400000US53063004602,Census Tract 46.02; Spokane County; Washington,35.7,49.6,4.5,18.2,17.7,12.4,6.2,6.6,21.7,12.0
1400000US53063004701,Census Tract 47.01; Spokane County; Washington,32.8,51.0,3.6,18.2,15.2,10.9,7.9,1.3,29.8,11.5
1400000US53063004702,Census Tract 47.02; Spokane County; Washington,41.8,46.8,4.5,13.4,12.9,11.5,6.7,7.1,21.7,21.6
1400000US53063004800,Census Tract 48; Spokane County; Washington,44.0,46.2,4.1,11.7,12.2,6.7,7.3,8.8,21.3,25.9
1400000US53063004900,Census Tract 49; Spokane County; Washington,43.2,50.6,7.9,11.2,10.5,10.4,7.1,7.8,19.4,23.9
1400000US53063005000,Census Tract 50; Spokane County; Washington,39.5,48.4,2.5,14.3,14.7,6.9,3.7,10.3,27.2,19.8
1400000US53063010101,Census Tract 101.01; Spokane County; Washington,52.8,52.9,2.5,9.5,10.9,16.3,7.7,10.5,13.1,28.8
1400000US53063010102,Census Tract 101.02; Spokane County; Washington,46.9,52.2,0.4,17.5,10.3,8.7,13.4,12.9,19.6,17.2
1400000US53063010201,Census Tract 102.01; Spokane County; Washington,43.7,53.7,4.4,11.0,18.4,11.8,8.0,5.3,17.5,21.2
1400000US53063010203,Census Tract 102.03; Spokane County; Washington,37.2,49.5,5.8,13.8,7.2,19.2,8.4,4.5,26.4,13.0
1400000US53063010204,Census Tract 102.04; Spokane County; Washington,43.1,45.2,1.3,3.2,15.3,14.7,4.8,6.4,31.6,20.3
1400000US53063010301,Census Tract 103.01; Spokane County; Washington,35.5,43.9,5.1,15.7,10.5,8.9,7.0,6.2,26.0,18.5
1400000US53063010303,Census Tract 103.03; Spokane County; Washington,47.3,48.9,2.4,4.8,15.9,11.5,6.6,11.9,23.2,21.6
1400000US53063010304,Census Tract 103.04; Spokane County; Washington,46.4,49.5,1.8,8.3,13.8,13.9,6.0,11.5,21.4,21.3
1400000US53063010305,Census Tract 103.05; Spokane County; Washington,40.1,55.1,6.9,8.9,15.3,13.8,7.9,5.1,24.9,14.7
1400000US53063010401,Census Tract 104.01; Spokane County; Washington,33.8,67.8,7.9,24.1,17.4,13.3,3.9,4.0,20.1,8.4
1400000US53063010403,Census Tract 104.03; Spokane County; Washington,41.2,48.0,2.7,13.3,15.6,11.9,8.3,8.4,22.6,15.6
1400000US53063010404,Census Tract 104.04; Spokane County; Washington,50.0,54.0,2.4,6.2,12.6,21.4,9.7,4.3,13.9,27.6
1400000US53063010504,Census Tract 105.04; Spokane County; Washington,45.7,50.5,2.6,3.7,14.8,12.2,7.9,9.9,26.3,20.7
1400000US53063010505,Census Tract 105.05; Spokane County; Washington,34.4,51.1,4.0,13.8,11.9,13.0,5.7,3.7,30.2,14.9
1400000US53063010506,Census Tract 105.06; Spokane County; Washington,46.6,50.9,7.3,7.4,11.1,9.9,7.3,9.1,20.8,25.0
1400000US53063010507,Census Tract 105.07; Spokane County; Washington,41.1,49.6,4.6,11.1,9.5,16.5,7.6,5.3,25.4,18.0
1400000US53063010508,Census Tract 105.08; Spokane County; Washington,40.7,51.8,4.9,4.0,18.3,9.2,6.3,9.7,30.4,13.1
1400000US53063010601,Census Tract 106.01; Spokane County; Washington,41.7,50.4,1.5,8.7,12.6,13.5,5.9,5.2,28.8,21.2
1400000US53063010603,Census Tract 106.03; Spokane County; Washington,50.1,51.1,4.8,9.0,10.1,13.4,7.7,8.0,20.3,24.9
1400000US53063010604,Census Tract 106.04; Spokane County; Washington,54.2,51.7,4.0,13.4,4.8,11.1,11.5,14.4,18.6,21.1
1400000US53063010701,Census Tract 107.01; Spokane County; Washington,37.5,49.4,1.4,8.8,17.1,15.4,6.7,3.8,34.4,10.7
1400000US53063010702,Census Tract 107.02; Spokane County; Washington,34.3,51.5,4.8,8.0,18.7,13.1,3.9,4.3,37.6,8.2
1400000US53063010800,Census Tract 108; Spokane County; Washington,36.8,42.7,14.5,12.3,10.5,9.7,4.3,13.2,14.6,15.7
1400000US53063010901,Census Tract 109.01; Spokane County; Washington,39.4,52.2,3.2,11.4,15.0,13.0,5.9,4.2,24.1,20.3
1400000US53063010902,Census Tract 109.02; Spokane County; Washington,20.6,47.7,15.5,5.4,7.0,10.8,2.6,3.0,15.0,9.9
1400000US53063011000,Census Tract 110; Spokane County; Washington,40.4,50.3,3.7,10.2,16.3,13.2,7.6,4.2,25.8,16.7
1400000US53063011102,Census Tract 111.02; Spokane County; Washington,31.5,48.6,9.3,22.0,9.9,10.0,6.6,3.6,22.9,13.0
1400000US53063011103,Census Tract 111.03; Spokane County; Washington,57.7,46.7,7.1,11.6,8.3,7.7,4.9,9.1,10.9,38.9
1400000US53063011104,Census Tract 111.04; Spokane County; Washington,28.6,36.0,13.3,21.7,9.5,4.2,5.0,6.1,18.4,17.4
1400000US53063011202,Census Tract 112.02; Spokane County; Washington,43.5,48.5,3.4,14.1,11.7,15.5,6.9,8.8,22.3,15.7
1400000US53063011203,Census Tract 112.03; Spokane County; Washington,31.2,48.1,9.0,21.0,9.5,6.8,4.0,5.4,24.7,17.1
1400000US53063011204,Census Tract 112.04; Spokane County; Washington,37.9,38.6,6.7,20.1,10.2,7.4,5.8,8.0,17.8,23.8
1400000US53063011301,Census Tract 113.01; Spokane County; Washington,46.6,45.9,5.0,11.4,13.0,11.9,3.2,5.1,17.2,31.6
1400000US53063011302,Census Tract 113.02; Spokane County; Washington,33.6,48.7,7.0,23.0,9.3,9.9,4.5,10.6,20.4,13.7
1400000US53063011400,Census Tract 114; Spokane County; Washington,42.3,50.1,4.5,15.6,9.9,19.3,7.4,5.2,24.8,13.0
1400000US53063011500,Census Tract 115; Spokane County; Washington,45.0,54.2,0.3,9.8,15.5,17.5,12.8,6.3,18.4,13.4
1400000US53063011600,Census Tract 116; Spokane County; Washington,37.5,48.4,5.2,13.8,12.9,11.3,7.8,7.5,24.3,14.5
1400000US53063011701,Census Tract 117.01; Spokane County; Washington,46.9,52.6,5.0,10.5,13.8,10.5,9.5,12.6,15.8,19.4
1400000US53063011702,Census Tract 117.02; Spokane County; Washington,28.6,47.2,10.6,21.5,9.7,11.2,5.1,5.1,25.2,9.9
1400000US53063011800,Census Tract 118; Spokane County; Washington,35.7,44.3,5.5,22.6,8.9,12.9,3.9,6.2,20.4,19.4
1400000US53063011900,Census Tract 119; Spokane County; Washington,32.9,47.8,4.4,21.9,13.1,10.0,2.9,3.0,25.5,15.6
1400000US53063012000,Census Tract 120; Spokane County; Washington,35.7,47.1,4.3,18.9,11.2,15.2,5.6,3.1,23.1,16.5
1400000US53063012100,Census Tract 121; Spokane County; Washington,36.9,54.0,4.3,13.2,20.8,6.2,8.0,6.3,24.7,13.7
1400000US53063012200,Census Tract 122; Spokane County; Washington,38.4,50.7,6.1,15.7,12.0,15.2,7.8,5.9,21.5,12.0
1400000US53063012300,Census Tract 123; Spokane County; Washington,36.0,44.4,10.5,17.3,10.5,10.5,6.6,7.3,20.2,15.7
1400000US53063012401,Census Tract 124.01; Spokane County; Washington,46.9,45.9,4.8,6.2,16.3,8.3,6.4,11.8,19.4,24.7
1400000US53063012402,Census Tract 124.02; Spokane County; Washington,41.0,49.3,3.9,8.8,13.6,12.4,8.6,7.3,26.6,16.4
1400000US53063012500,Census Tract 125; Spokane County; Washington,39.1,49.3,4.7,16.3,20.1,7.9,3.7,6.4,21.7,15.7
1400000US53063012600,Census Tract 126; Spokane County; Washington,34.7,50.8,6.9,22.6,9.3,11.9,7.3,6.5,19.4,14.4
1400000US53063012701,Census Tract 127.01; Spokane County; Washington,43.4,50.1,6.6,16.6,11.5,11.8,4.8,6.4,17.8,22.8
1400000US53063012702,Census Tract 127.02; Spokane County; Washington,32.0,51.7,5.9,14.0,13.1,10.2,5.5,3.2,31.6,14.2
1400000US53063012801,Census Tract 128.01; Spokane County; Washington,40.8,50.8,2.6,16.0,13.2,10.8,5.8,6.1,23.2,20.4
1400000US53063012802,Census Tract 128.02; Spokane County; Washington,41.8,47.8,4.5,10.7,14.5,13.3,7.3,6.7,21.4,19.1
1400000US53063012901,Census Tract 129.01; Spokane County; Washington,40.7,53.1,5.0,12.2,10.5,9.4,1.9,10.4,25.9,23.9
1400000US53063012902,Census Tract 129.02; Spokane County; Washington,36.9,50.9,7.4,12.2,15.5,13.3,5.7,2.9,25.2,16.4
1400000US53063013001,Census Tract 130.01; Spokane County; Washington,45.8,47.8,1.3,7.7,10.0,21.1,5.5,10.6,26.7,17.1
1400000US53063013002,Census Tract 130.02; Spokane County; Washington,35.4,47.8,10.4,17.9,10.6,15.1,3.1,6.1,15.0,16.1
1400000US53063013003,Census Tract 130.03; Spokane County; Washington,40.7,49.4,2.5,6.2,17.1,14.4,7.0,4.7,30.3,16.7
1400000US53063013101,Census Tract 131.01; Spokane County; Washington,36.8,52.6,6.2,19.9,17.7,8.0,6.3,8.2,19.8,13.1
1400000US53063013102,Census Tract 131.02; Spokane County; Washington,41.1,45.1,0.6,17.4,9.7,13.4,10.4,5.1,25.6,17.0
1400000US53063013201,Census Tract 132.01; Spokane County; Washington,43.6,51.9,2.9,12.4,15.4,9.7,12.4,6.4,20.2,19.8
1400000US53063013203,Census Tract 132.03; Spokane County; Washington,46.5,45.5,5.9,9.2,10.7,14.1,3.7,10.2,20.6,24.1
1400000US53063013204,Census Tract 132.04; Spokane County; Washington,36.6,48.4,1.8,8.7,16.8,15.8,3.6,3.9,34.6,13.2
1400000US53063013205,Census Tract 132.05; Spokane County; Washington,34.4,44.6,2.0,6.7,18.7,12.3,3.0,4.2,39.4,9.4
1400000US53063013300,Census Tract 133; Spokane County; Washington,48.1,51.7,5.4,5.8,11.6,11.3,11.6,13.4,22.0,15.5
1400000US53063013401,Census Tract 134.01; Spokane County; Washington,43.6,50.5,3.9,12.8,10.9,13.6,4.5,11.0,22.7,19.8
1400000US53063013501,Census Tract 135.01; Spokane County; Washington,57.3,48.6,0.8,9.7,8.1,14.4,7.2,18.5,15.5,25.7
1400000US53063013502,Census Tract 135.02; Spokane County; Washington,53.3,52.5,2.0,6.8,6.6,16.4,8.2,15.7,20.7,23.5
1400000US53063013503,Census Tract 135.03; Spokane County; Washington,40.9,49.0,1.0,12.5,16.0,15.3,4.0,9.4,25.6,15.4
1400000US53063013600,Census Tract 136; Spokane County; Washington,34.6,50.0,4.6,15.1,14.6,17.0,2.9,4.7,29.0,10.5
1400000US53063013700,Census Tract 137; Spokane County; Washington,35.5,51.6,10.0,19.6,12.5,12.4,7.4,8.5,17.2,11.2
1400000US53063013800,Census Tract 138; Spokane County; Washington,23.3,61.1,22.7,28.7,11.5,1.0,0.8,0.2,32.3,0.0
1400000US53063013900,Census Tract 139; Spokane County; Washington,39.8,52.2,5.2,16.8,16.3,13.6,10.1,4.8,19.1,12.0
1400000US53063014001,Census Tract 140.01; Spokane County; Washington,22.7,50.3,27.5,17.0,4.7,3.7,3.9,2.2,10.0,9.2
1400000US53063014002,Census Tract 140.02; Spokane County; Washington,24.1,46.0,29.5,14.2,9.1,5.7,4.5,3.0,20.2,9.2
1400000US53063014100,Census Tract 141; Spokane County; Washington,41.3,49.7,4.1,10.2,11.5,15.2,6.2,7.7,25.1,18.2
1400000US53063014200,Census Tract 142; Spokane County; Washington,44.7,48.0,7.7,8.2,12.5,10.7,7.5,13.2,17.6,17.7
1400000US53063014300,Census Tract 143; Spokane County; Washington,42.2,51.8,5.2,11.5,12.9,14.9,9.1,6.4,23.7,15.1
1400000US53063014400,Census Tract 144; Spokane County; Washington,38.2,53.6,2.5,15.7,13.2,14.0,8.3,6.1,25.0,12.9
1400000US53063014500,Census Tract 145; Spokane County; Washington,39.4,53.6,8.5,20.7,11.5,19.3,4.4,8.6,15.4,9.8
