geo_id,unemploy_rate,pct_below_poverty
1400000US16055000101,1.9,6.3
1400000US16055000102,3.8,3.7
1400000US16055000201,2.5,7.4
1400000US16055000202,3.7,6.7
1400000US16055000203,1.2,14.0
1400000US16055000301,2.0,2.8
1400000US16055000303,3.2,5.4
1400000US16055000304,14.0,8.1
1400000US16055000401,7.9,16.6
1400000US16055000402,4.5,10.7
1400000US16055000501,3.9,8.6
1400000US16055000502,0.9,9.2
1400000US16055000503,1.9,14.7
1400000US16055000601,2.5,14.4
1400000US16055000602,3.9,16.5
1400000US16055000701,4.0,8.5
1400000US16055000702,5.6,7.9
1400000US16055000703,1.7,6.3
1400000US16055000704,1.5,3.1
1400000US16055000800,3.5,7.5
1400000US16055000901,5.0,14.4
1400000US16055000902,1.8,22.8
1400000US16055001002,6.6,6.1
1400000US16055001003,0.4,6.4
1400000US16055001004,1.0,7.7
1400000US16055001100,1.4,4.4
1400000US16055001201,1.7,14.8
1400000US16055001202,1.6,15.7
1400000US16055001300,4.6,18.6
1400000US16055001400,5.5,16.1
1400000US16055001500,3.6,7.7
1400000US16055001600,3.3,9.3
1400000US16055001700,1.8,5.7
1400000US16055001801,3.0,5.7
1400000US16055001802,0.5,1.6
1400000US16055001901,0.0,11.6
1400000US16055001902,4.9,3.2
1400000US16055002000,7.0,3.9
1400000US16055940000,5.7,15.3
1400000US53063000201,4.1,16.4
1400000US53063000202,14.8,27.9
1400000US53063000301,7.1,20.3
1400000US53063000302,2.7,23.1
1400000US53063000400,12.3,17.1
1400000US53063000500,5.5,12.0
1400000US53063000600,4.6,12.0
1400000US53063000700,7.7,7.2
1400000US53063000800,7.1,5.0
1400000US53063000900,6.3,16.4
1400000US53063001000,3.1,5.3
1400000US53063001100,1.4,4.0
1400000US53063001200,3.7,10.5
1400000US53063001300,5.3,16.5
1400000US53063001400,8.7,20.4
1400000US53063001500,4.3,16.5
1400000US53063001600,4.1,29.5
1400000US53063001800,6.1,16.9
1400000US53063001900,8.5,13.6
1400000US53063002000,10.7,36.0
1400000US53063002100,12.2,6.5
1400000US53063002300,4.9,21.8
1400000US53063002400,9.6,45.5
1400000US53063002501,5.7,43.3
1400000US53063002502,8.9,36.6
1400000US53063002503,20.3,57.4
1400000US53063002600,3.4,22.2
1400000US53063002900,5.7,6.6
1400000US53063003000,7.9,23.5
1400000US53063003100,5.0,23.0
1400000US53063003200,8.6,19.9
1400000US53063003500,12.7,51.6
1400000US53063003601,8.2,24.1
1400000US53063003602,7.1,20.0
1400000US53063003800,6.3,11.1
1400000US53063003900,8.7,12.4
1400000US53063004001,5.2,11.3
1400000US53063004002,3.7,12.8
1400000US53063004100,2.3,12.8
1400000US53063004200,7.8,5.0
1400000US53063004300,1.0,6.6
1400000US53063004400,2.4,4.6
1400000US53063004500,6.5,5.7
1400000US53063004601,3.9,11.4
1400000US53063004602,5.5,7.8
1400000US53063004701,9.7,16.7
1400000US53063004702,2.0,15.3
1400000US53063004800,1.3,9.1
1400000US53063004900,2.5,3.3
1400000US53063005000,5.9,11.7
1400000US53063010101,2.3,3.4
1400000US53063010102,1.0,3.0
1400000US53063010201,3.5,11.2
1400000US53063010203,4.0,5.5
1400000US53063010204,6.6,22.6
1400000US53063010301,8.7,13.7
1400000US53063010303,1.8,7.9
1400000US53063010304,4.4,12.0
1400000US53063010305,3.5,7.6
1400000US53063010401,10.9,23.2
1400000US53063010403,4.9,11.6
1400000US53063010404,3.7,7.3
1400000US53063010504,4.0,7.5
1400000US53063010505,4.7,6.1
1400000US53063010506,1.9,8.7
1400000US53063010507,2.4,3.1
1400000US53063010508,2.0,4.2
1400000US53063010601,1.9,2.6
1400000US53063010603,1.4,4.7
1400000US53063010604,6.1,3.5
1400000US53063010701,4.4,3.2
1400000US53063010702,1.1,13.8
1400000US53063010800,5.9,24.5
1400000US53063010901,16.1,12.9
1400000US53063010902,12.0,19.6
1400000US53063011000,6.5,8.8
1400000US53063011102,3.2,13.2
1400000US53063011103,14.2,12.9
1400000US53063011104,18.4,34.6
1400000US53063011202,6.0,6.8
1400000US53063011203,6.7,33.7
1400000US53063011204,2.1,11.9
1400000US53063011301,1.8,5.3
1400000US53063011302,3.8,13.1
1400000US53063011400,1.6,11.9
1400000US53063011500,6.1,7.5
1400000US53063011600,3.6,11.5
1400000US53063011701,1.4,10.2
1400000US53063011702,6.2,21.8
1400000US53063011800,7.1,15.6
1400000US53063011900,3.4,10.0
1400000US53063012000,3.9,16.8
1400000US53063012100,7.0,7.8
1400000US53063012200,8.7,11.1
1400000US53063012300,4.1,17.4
1400000US53063012401,8.3,5.7
1400000US53063012402,6.7,7.7
1400000US53063012500,5.9,18.6
1400000US53063012600,5.1,12.3
1400000US53063012701,2.4,7.0
1400000US53063012702,13.2,2.9
1400000US53063012801,6.5,8.7
1400000US53063012802,6.6,4.3
1400000US53063012901,5.3,11.7
1400000US53063012902,4.0,4.3
1400000US53063013001,0.6,17.5
1400000US53063013002,8.6,10.0
1400000US53063013003,6.2,12.5
1400000US53063013101,6.5,8.6
1400000US53063013102,5.1,4.0
1400000US53063013201,2.9,6.9
1400000US53063013203,9.3,1.8
1400000US53063013204,5.9,1.6
1400000US53063013205,1.9,6.3
1400000US53063013300,3.8,2.6
1400000US53063013401,3.1,3.9
1400000US53063013501,2.6,8.6
1400000US53063013502,5.0,2.5
1400000US53063013503,1.0,1.0
1400000US53063013600,4.6,8.6
1400000US53063013700,3.1,8.3
1400000US53063013800,5.0,5.5
1400000US53063013900,4.5,5.0
1400000US53063014001,16.0,37.2
1400000US53063014002,9.5,32.4
1400000US53063014100,5.2,1.5
1400000US53063014200,3.2,12.5
1400000US53063014300,6.2,10.2
1400000US53063014400,8.2,9.2
1400000US53063014500,15.1,40.7
